timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1781597469728,638,stress req,200,OK,stress (измените config после нагрузочного теста) 1-1,text,true,,231,157,1,1,http://localhost:8083/?token=492556914&user=2109717879&config=3,616,0,13
1781597469728,638,stress req,200,OK,stress (измените config после нагрузочного теста) 1-1,text,true,,231,157,1,1,http://localhost:8083/?token=492556914&user=2109717879&config=3,616,0,13
1781597472722,529,stress req,200,OK,stress (измените config после нагрузочного теста) 1-1,text,true,,231,157,1,1,http://localhost:8083/?token=492556914&user=2109717879&config=3,528,0,4
1781597472722,529,stress req,200,OK,stress (измените config после нагрузочного теста) 1-1,text,true,,231,157,1,1,http://localhost:8083/?token=492556914&user=2109717879&config=3,528,0,4
1781597474637,643,stress req,200,OK,stress (измените config после нагрузочного теста) 1-2,text,false,"The operation lasted too long: It took 643 milliseconds, but should not have lasted longer than 640 milliseconds.",231,157,2,2,http://localhost:8083/?token=492556914&user=2109717879&config=3,643,0,5
1781597474637,643,stress req,200,OK,stress (измените config после нагрузочного теста) 1-2,text,false,"The operation lasted too long: It took 643 milliseconds, but should not have lasted longer than 640 milliseconds.",231,157,2,2,http://localhost:8083/?token=492556914&user=2109717879&config=3,643,0,5
1781597475671,642,stress req,200,OK,stress (измените config после нагрузочного теста) 1-1,text,false,"The operation lasted too long: It took 642 milliseconds, but should not have lasted longer than 640 milliseconds.",231,157,2,2,http://localhost:8083/?token=492556914&user=2109717879&config=3,642,0,6
1781597475671,642,stress req,200,OK,stress (измените config после нагрузочного теста) 1-1,text,false,"The operation lasted too long: It took 642 milliseconds, but should not have lasted longer than 640 milliseconds.",231,157,2,2,http://localhost:8083/?token=492556914&user=2109717879&config=3,642,0,6
1781597477636,557,stress req,200,OK,stress (измените config после нагрузочного теста) 1-2,text,true,,231,157,2,2,http://localhost:8083/?token=492556914&user=2109717879&config=3,557,0,3
1781597477636,557,stress req,200,OK,stress (измените config после нагрузочного теста) 1-2,text,true,,231,157,2,2,http://localhost:8083/?token=492556914&user=2109717879&config=3,557,0,3
1781597478669,582,stress req,200,OK,stress (измените config после нагрузочного теста) 1-1,text,true,,231,157,2,2,http://localhost:8083/?token=492556914&user=2109717879&config=3,582,0,6
1781597478669,582,stress req,200,OK,stress (измените config после нагрузочного теста) 1-1,text,true,,231,157,2,2,http://localhost:8083/?token=492556914&user=2109717879&config=3,582,0,6
1781597479639,606,stress req,200,OK,stress (измените config после нагрузочного теста) 1-3,text,true,,231,157,3,3,http://localhost:8083/?token=492556914&user=2109717879&config=3,605,0,6
1781597479639,606,stress req,200,OK,stress (измените config после нагрузочного теста) 1-3,text,true,,231,157,3,3,http://localhost:8083/?token=492556914&user=2109717879&config=3,605,0,6
1781597480637,620,stress req,200,OK,stress (измените config после нагрузочного теста) 1-2,text,true,,231,157,3,3,http://localhost:8083/?token=492556914&user=2109717879&config=3,619,0,5
1781597480637,620,stress req,200,OK,stress (измените config после нагрузочного теста) 1-2,text,true,,231,157,3,3,http://localhost:8083/?token=492556914&user=2109717879&config=3,619,0,5
1781597481670,605,stress req,200,OK,stress (измените config после нагрузочного теста) 1-1,text,true,,231,157,3,3,http://localhost:8083/?token=492556914&user=2109717879&config=3,605,0,6
1781597481670,605,stress req,200,OK,stress (измените config после нагрузочного теста) 1-1,text,true,,231,157,3,3,http://localhost:8083/?token=492556914&user=2109717879&config=3,605,0,6
1781597482639,638,stress req,200,OK,stress (измените config после нагрузочного теста) 1-3,text,true,,231,157,3,3,http://localhost:8083/?token=492556914&user=2109717879&config=3,638,0,5
1781597482639,638,stress req,200,OK,stress (измените config после нагрузочного теста) 1-3,text,true,,231,157,3,3,http://localhost:8083/?token=492556914&user=2109717879&config=3,638,0,5
